MONTH,POP
01-2018,96064
02-2018,96101
03-2018,96163
04-2018,96081
05-2018,96196
06-2018,96256
07-2018,96273
08-2018,96298
09-2018,96145
10-2018,95612
11-2018,96020
12-2018,95693
01-2019,95721
02-2019,95675
03-2019,95757
04-2019,95828
05-2019,95781
06-2019,95626
07-2019,95526
08-2019,95021
09-2019,94973
10-2019,95098
11-2019,94706
12-2019,94195
01-2020,93941
02-2020,93870
03-2020,92876
04-2020,91131
05-2020,89196
06-2020,87737
07-2020,85835
08-2020,84610
09-2020,82918
10-2020,82029
11-2020,80690
12-2020,79525