MONTH,INMATE_POP
01-2018,145154
02-2018,145399
03-2018,145451
04-2018,145383
05-2018,145398
06-2018,145119
07-2018,145113
08-2018,145078
09-2018,145189
10-2018,145562
11-2018,145362
12-2018,145082
01-2019,145402
02-2019,144659
03-2019,144226
04-2019,143922
05-2019,143826
06-2019,143473
07-2019,143473
08-2019,142230
09-2019,142048
10-2019,142378
11-2019,142038
12-2019,141549
01-2020,140819
02-2020,140419
03-2020,140124
04-2020,135833
05-2020,131483
06-2020,126590
07-2020,124179
08-2020,121128
09-2020,120709
10-2020,122177
11-2020,121876
12-2020,120873